decile,customers,churners,churn_rate_pct,avg_predicted_prob,cumulative_recall_pct,expected_loss_no_action,campaign_cost,revenue_saved,net_benefit,roi_pct,break_even_retention_rate_pct
1,140,116,82.9,0.401,15.3,232000,3500,69600,66100,1888.6,1.5
2,140,104,74.3,0.393,29.1,208000,3500,62400,58900,1682.9,1.7
3,140,90,64.3,0.365,41.0,180000,3500,54000,50500,1442.9,1.9
4,140,92,65.7,0.362,53.2,184000,3500,55200,51700,1477.1,1.9
5,140,86,61.4,0.362,64.6,172000,3500,51600,48100,1374.3,2.0
6,140,83,59.3,0.361,75.5,166000,3500,49800,46300,1322.9,2.1
7,140,66,47.1,0.351,84.3,132000,3500,39600,36100,1031.4,2.7
8,140,59,42.1,0.343,92.1,118000,3500,35400,31900,911.4,3.0
9,140,35,25.0,0.326,96.7,70000,3500,21000,17500,500.0,5.0
10,149,25,16.8,0.297,100.0,50000,3725,15000,11275,302.7,7.4
